Nomor,Lokasi Posting,Kecamatan/Kab/Kota,Provinsi,Info Tambahan,Delete
1,"Asemrowo, East Java",Asemrowo,,"Asemrowo, East Java · 20.989 orang pernah singgah di sini",Delete
2,"Benowo, East Java",Benowo,,"Benowo, East Java · 19.610 orang pernah singgah di sini",Delete
3,"Romokalisari, Benowo",Benowo,,"Romokalisari, East Java · 3.445 orang pernah singgah di sini",Delete
6,Bulak Banteng,Bulak,,"bulak banteng lor · Bulak Banteng, East Java · 26.099 orang pernah singgah di sini",Delete
10,"Gunung Sari, Dukuh Pakis",Dukuh Pakis,,"Gunung Sari, East Java · 958 orang pernah singgah di sini",Delete
12,"Setail, Genteng",Genteng,,"Setail, East Java · 4.510 orang pernah singgah di sini",Delete
13,Genteng Wetan,Genteng,,"Genteng Wetan, East Java · 5.188 orang pernah singgah di sini",Delete
16,"Gubeng, East Java",Gubeng,,"Gubeng, East Java · 28.107 orang pernah singgah di sini",Delete
18,"Gunung Anyar, East Java",Gunung Anyar,,"Gunung Anyar, East Java · 7.383 orang pernah singgah di sini",Delete
19,Gunung Anyar Tambak,Gunung Anyar,,"gunung anyar tambak · Gunung Anyar Tambak, East Java · 8.918 orang pernah singgah di sini",Delete
22,"Jambangan, East Java",Jambangan,,"Jambangan, East Java · 8.776 orang pernah singgah di sini",Delete
25,"Karangpilang, East Java",Karangpilang,,"Karangpilang, East Java · 12.723 orang pernah singgah di sini",Delete
28,"Kenjeran, East Java",Kenjeran,,"Kenjeran, East Java · 101.679 orang pernah singgah di sini",Delete
29,Komplek Kenjeran,Kenjeran,,"Komplek Kenjeran, East Java · 255 orang pernah singgah di sini",Delete
30,Krembangan Utara,Krembangan,,"Krembangan Utara, East Java · 394 orang pernah singgah di sini",Delete
31,"Krembangan, Gudo",Krembangan,,"Krembangan, East Java · 1.078 orang pernah singgah di sini",Delete
32,South Krembangan,Krembangan,,"Krembangan Selatan, East Java · 59 orang pernah singgah di sini",Delete
33,"Krembangan, East Java",Krembangan,,"Krembangan, East Java · 28.376 orang pernah singgah di sini",Delete
34,"Lakarsantri, East Java",Lakarsantri,,"Lakarsantri, East Java · 14.683 orang pernah singgah di sini",Delete
35,Mulyorejo,Mulyorejo,,"Mulyorejo, East Java · 10.004 orang pernah singgah di sini",Delete
38,"Pakal, Jawa Timur, Indonesia",Pakal,,"Pakal, East Java · 10.529 orang pernah singgah di sini",Delete
42,Rungkut Tengah,Rungkut,,"Rungkut Tengah, East Java · 14.051 orang pernah singgah di sini",Delete
43,Kali Rungkut,Rungkut,,"Kali Rungkut, East Java · 6.477 orang pernah singgah di sini",Delete
44,"Rungkut, East Java",Rungkut,,"Rungkut, East Java · 54.216 orang pernah singgah di sini",Delete
45,"Medokan Ayu, Rungkut",Rungkut,,"Medokan Ayu, East Java · 21.155 orang pernah singgah di sini",Delete
46,Rungkut Menanggal,Rungkut,,"rungkut menanggal · Rungkut Menanggal, East Java · 11.793 orang pernah singgah di sini",Delete
47,"Sambikerep, Rejoso",Sambikerep,,"Sambikerep, East Java · 2.079 orang pernah singgah di sini",Delete
48,"Kletek Sambikerep, Jawa Timur, Indonesia",Sambikerep,,"Kletek Sambikerep, East Java · 1.873 orang pernah singgah di sini",Delete
50,Sawahan,Sawahan,,"Sawahan, East Java · 4.697 orang pernah singgah di sini",Delete
52,Barong Sawahan,Sawahan,,"Barong Sawahan, East Java · 841 orang pernah singgah di sini",Delete
53,"Sawahan, East Java",Sawahan,,"Sawahan, East Java · 20.028 orang pernah singgah di sini",Delete
54,Semampir,Semampir,,"Semampir, East Java · 3.743 orang pernah singgah di sini",Delete
56,Medokan Semampir,Semampir,,"Medokan Semampir, East Java · 9.944 orang pernah singgah di sini",Delete
57,"Semampir, East Java",Semampir,,"Semampir, East Java · 5.138 orang pernah singgah di sini",Delete
58,Semampir Barat,Semampir,,"Semampir Barat, East Java · 132 orang pernah singgah di sini",Delete
59,"Kapasan, Simokerto",Simokerto,,"Kapasan, East Java · 1.936 orang pernah singgah di sini",Delete
62,"Sukolilo, East Java",Sukolilo,,"Sukolilo, East Java · 11.277 orang pernah singgah di sini",Delete
66,"Tambaksari, East Java",Tambaksari,,"Tambaksari, East Java · 16.382 orang pernah singgah di sini",Delete
68,"Gading, Tambaksari",Tambaksari,,"Gading, East Java · 2.558 orang pernah singgah di sini",Delete
70,Tandes,Tandes,,"Tandes, East Java · 1.255 orang pernah singgah di sini",Delete
71,Tandes Lor 2,Tandes,,"Tandes Lor 2, East Java · 1.393 orang pernah singgah di sini",Delete
74,Tandes Kidul,Tandes,,"Tandes Kidul, East Java · 628 orang pernah singgah di sini",Delete
75,"Tenggilis Mejoyo, East Java",Tenggilis Mejoyo,,"Tenggilis Mejoyo, East Java · 8.458 orang pernah singgah di sini",Delete
76,"Wiyung, East Java",Wiyung,,"Wiyung, East Java · 40.568 orang pernah singgah di sini",Delete
77,"Wonocolo, East Java",Wonocolo,,"Wonocolo, East Java · 20.062 orang pernah singgah di sini",Delete
78,"Wonokromo, East Java",Wonokromo,,"Wonokromo, East Java · 45.827 orang pernah singgah di sini",Delete
84,Tegalsari,Tegalsari,,"Tegalsari, East Java · 766 orang pernah singgah di sini",Delete
